IATA,ICAO,Name,Country,City,UTC,Latitude,Longitude
AAA,NTGA,Anaa Airport,French Polynesia,Anaa,,,
AAB,YARY,Arrabury Airport,Australia,Tanbar,,,
AAC,HEAR,El Arish International Airport,Egypt,El Arish,,,
AAD,,Adado Airport,Somalia,Adado,,,
AAE,DABB,Annaba Rabah Bitat Airport,Algeria,Annaba,,,
AAF,KAAF,Apalachicola Regional Airport,United States of America,Apalachicola,,,
AAG,SSYA,Fazenda Tropical Airport,Brazil,São Luiz do Norte,,,
AAH,EDKA,Aachen-Merzbrück Airport,Germany,Aachen,,,
AAI,SWRA,Arraias Airport,Brazil,Arraias,,,
AAJ,,Cayana Airstrip,Suriname,Awaradam,,,
AAK,NGUK,Aranuka Airport,Kiribati,Buariki,,,
AAL,EKYT,Aalborg Airport,Denmark,Aalborg,,,
AAM,FAMD,Malamala Airport,South Africa,Malamala,,,
AAN,OMAL,Al Ain International Airport,United Arab Emirates,Al Ain,,,
AAO,SVAN,Anaco Airport,Venezuela,Anaco,,,
AAP,WALS,Aji Pangeran Tumenggung Pranoto International Airport,Indonesia,Samarinda,,,
AAQ,URKA,Anapa Vityazevo Airport,Russia,Krasnyi Kurgan,,,
AAR,EKAH,Aarhus Airport,Denmark,Aarhus,,,
AAS,,Apalapsili Airport,Indonesia,Apalapsili,,,
AAT,ZWAT,Altay Xuedu Airport,China,Altay,,,
AAU,NSAU,Asau Airport,Samoa,Asau,,,
AAV,RPMA,Allah Valley Airport,Philippines,Surallah,,,
AAX,SBAX,Romeu Zema Airport,Brazil,Araxá,,,
AAY,OYGD,Al Ghaydah International Airport,Yemen,Al Ghaydah,,,
AAZ,MGQZ,Quezaltenango Airport,Guatemala,Quezaltenango,,,
ABA,UNAA,Abakan International Airport,Russia,Abakan,,,
ABB,DNAS,Asaba International Airport,Nigeria,Asaba,,,
ABC,LEAB,Albacete Airport / Los Llanos Air Base,Spain,Albacete,,,
ABD,OIAA,Abadan Ayatollah Jami International Airport,Iran,Abadan,,,
ABE,KABE,Lehigh Valley International Airport,United States of America,Allentown/Bethlehem,,,
ABF,NGAB,Abaiang Airport,Kiribati,Abaiang,,,
ABG,YABI,Abingdon Downs Airport,Australia,Abingdon Downs,,,
ABH,,Alpha Airport,Australia,Alpha,,,
ABI,KABI,Abilene Regional Airport,United States of America,Abilene,,,
ABJ,DIAP,Félix-Houphouët-Boigny International Airport,Ivory Coast,Abidjan,,,
ABK,HAKD,Kebri Dahar Airport,Ethiopia,Kebri Dahar,,,
ABL,PAFM,Ambler Airport,United States of America,Ambler,,,
ABM,YNPE,Northern Peninsula Airport,Australia,Bamaga,,,
ABN,SMBN,Albina Airport,Suriname,Albina,,,
ABO,DIAO,Aboisso Airport,Ivory Coast,Aboisso,,,
ABP,,Atkamba Airport,Papua New Guinea,Atkamba Mission,,,
ABQ,KABQ,Albuquerque International Sunport,United States of America,Albuquerque,,,
ABR,KABR,Aberdeen Regional Airport,United States of America,Aberdeen,,,
ABS,HEBL,Abu Simbel Airport,Egypt,Abu Simbel,,,
ABT,OEBA,King Saud Bin Abdulaziz (Al Baha) Airport,Saudi Arabia,Al-Baha,,,
ABU,WATA,AA Bere Tallo (Haliwen) Airport,Indonesia,Atambua,,,
ABV,DNAA,Nnamdi Azikiwe International Airport,Nigeria,Abuja,,,
ABX,YMAY,Albury Airport,Australia,East Albury,,,
ABY,KABY,Southwest Georgia Regional Airport,United States of America,Albany,,,
ABZ,EGPD,Aberdeen International Airport,United Kingdom,Aberdeen,,,
ACA,MMAA,General Juan N. Álvarez International Airport,Mexico,Acapulco,,,
ACB,KACB,Antrim County Airport,United States of America,Bellaire,,,
ACC,DGAA,Kotoka International Airport,Ghana,Accra,,,
ACD,SKAD,Alcides Fernández Airport,Colombia,Acandí,,,
ACE,GCRR,César Manrique-Lanzarote Airport,Spain,San Bartolomé,,,
ACF,ZWAL,Aral Tarim Airport,China,Aral,,,
ACH,LSZR,Sankt Gallen Altenrhein Airport,Switzerland,St. Gallen,,,
ACI,EGJA,Alderney Airport,Guernsey,Saint Anne,,,
ACJ,VCCA,Anuradhapura Airport,Sri Lanka,Anuradhapura,,,
ACK,KACK,Nantucket Memorial Airport,United States of America,Nantucket,,,
ACN,MMCC,Ciudad Acuña International Airport,Mexico,Ciudad Acuña,,,
ACP,OITM,Sahand Airport,Iran,Maragheh,,,
ACR,SKAC,Araracuara Airport,Colombia,Araracuara,,,
ACS,UNKS,Achinsk Airport,Russia,Achinsk,,,
ACT,KACT,Waco Regional Airport,United States of America,Waco,,,
ACU,,Achutupu Airport,Panama,Mamitupu,,,
ACV,KACV,California Redwood Coast-Humboldt County Airport,United States of America,Arcata/Eureka,,,
ACX,ZUYI,Xingyi Wanfenglin Airport,China,Xingyi,,,
ACY,KACY,Atlantic City International Airport,United States of America,Atlantic City,,,
ACZ,OIZB,Zabol Airport,Iran,Zabol,,,
ADA,LTAF,Adana Şakirpaşa Airport,Turkey,Seyhan,,,
ADB,LTBJ,Adnan Menderes International Airport,Turkey,Gaziemir,,,
ADC,,Andakombe Airport,Papua New Guinea,Andekombe,,,
ADD,HAAB,Addis Ababa Bole International Airport,Ethiopia,Addis Ababa,,,
ADE,OYAA,Aden International Airport,Yemen,Aden,,,
ADF,LTCP,Adıyaman Airport,Turkey,Adıyaman,,,
ADG,KADG,Lenawee County Airport,United States of America,Adrian,,,
ADH,UEEA,Aldan Airport,Russia,Aldan,,,
ADI,FYAR,Arandis Airport,Namibia,Arandis,,,
ADJ,OJAM,Marka International (Amman Civil) Airport,Jordan,Amman,,,
ADK,PADK,Adak Airport,United States of America,Adak,,,
ADL,YPAD,Adelaide International Airport,Australia,Adelaide,,,
ADM,KADM,Ardmore Municipal Airport,United States of America,Ardmore,,,
ADO,YAMK,Andamooka Airport,Australia,Andamooka,,,
ADP,VCCG,Ampara Airport,Sri Lanka,Ampara,,,
ADQ,PADQ,Kodiak Airport,United States of America,Kodiak,,,
ADR,KPHH,Robert F Swinnie Airport,United States of America,Andrews,,,
ADS,KADS,Addison Airport,United States of America,Dallas,,,
ADT,KADH,Ada Regional Airport,United States of America,Ada,,,
ADU,OITL,Ardabil Airport,Iran,Ardabil,,,
ADV,,El Daein Airport,Sudan,El Daein,,,
ADW,KADW,Joint Base Andrews,United States of America,Camp Springs,,,
ADX,EGQL,Leuchars Station Airfield,United Kingdom,"Leuchars, Fife",,,
ADY,FAAL,Alldays Airport,South Africa,Alldays,,,
ADZ,SKSP,Gustavo Rojas Pinilla International Airport,Colombia,San Andrés,,,
AEA,NGTB,Abemama Airport,Kiribati,Abemama,,,
AEB,ZGBS,Baise (Bose) Bama Airport,China,Baise (Tianyang),,,
AEE,,Adareil Airport,South Sudan,Adar,,,
AEG,WIME,Aek Godang Airport,Indonesia,Padang Sidempuan,,,
AEH,FTTC,Abeche Airport,Chad,Abeche,,,
AEK,,Aseki Airport,Papua New Guinea,Aseki,,,
AEL,KAEL,Albert Lea Municipal Airport,United States of America,Albert Lea,,,
AEM,UHTG,Amgu Airport,Russia,Amgu,,,
AEO,GQNA,Aioun el Atrouss Airport,Mauritania,Aioun El Atrouss,,,
AEP,SABE,Aeroparque Jorge Newbery,Argentina,Buenos Aires,,,
